stock1,stock2,stock3,stock4,stock5
1.161290322580652533e-02,1.674876847290640222e-02,-2.325581395348829197e-02,-1.452020202020202003e-02,5.076182947256202560e-03
-5.229591836734704541e-02,-3.488372093023255766e-02,0.000000000000000000e+00,-7.174887892376681509e-02,3.030303030303030387e-02
-2.691790040376888793e-03,4.718875502008031825e-02,-7.142857142857149400e-02,4.140786749482401954e-03,-4.902000000000040006e-03
-6.747638326585695366e-03,1.725790987535954016e-02,5.128205128205121782e-02,-7.560137457044673569e-03,-4.926029750779417106e-03
-1.494565217391296760e-02,6.503298774740810806e-02,-4.878048780487798802e-02,1.662049861495844966e-02,-6.435647269875359455e-02
1.793103448275858158e-02,1.769911504424778736e-03,6.410256410256387483e-03,1.362397820163487733e-02,-7.407403174603170715e-02
-1.355013550135424375e-03,2.650176678445229778e-02,4.458598726114645222e-02,1.411290322580645122e-02,3.999990674286130893e-02
-8.819538670284939041e-02,6.196213425129087904e-02,6.707317073170740440e-02,3.313452617627567730e-03,-5.494417823930363744e-03
-1.934523809523809312e-01,-2.836304700162074408e-02,1.714285714285718187e-02,-5.944517833553500386e-03,1.104967906962739908e-02
1.845018450184396841e-03,1.584653878231859908e-02,-2.247191011235966790e-02,6.644518272425249542e-04,1.092891803278684022e-02
7.550644567219155778e-02,1.067323481116584649e-02,2.873563218390804905e-02,-1.128818061088977462e-02,-3.783775298757841715e-02
3.767123287671237525e-02,9.748172217709179938e-03,5.586592178771029697e-03,6.715916722632639217e-03,4.494377326095395919e-02
-1.980198019801984732e-02,8.045052292839903821e-03,2.222222222222214327e-02,1.067378252168111989e-02,0.000000000000000000e+00
-2.188552188552183794e-02,-6.863527533918595269e-02,-4.347826086956506353e-02,-3.960396039603960444e-03,4.301070967741930928e-02
1.893287435456112583e-02,3.341902313624678378e-02,-2.840909090909090814e-02,4.440026507620940810e-02,0.000000000000000000e+00
-1.351351351351358539e-02,-5.804311774461027792e-03,1.169590643274849573e-02,-1.269035532994923846e-02,2.061859878839587129e-02
-1.198630136986294017e-02,6.338615512927439632e-02,5.202312138728315549e-02,6.491002570694087703e-02,5.050509090909095083e-02
1.733102253032830402e-03,4.235294117647058626e-02,-3.846153846153842204e-02,-9.052504526252263400e-03,-2.403922984464579478e-03
-2.941176470588227967e-02,-1.580135440180586992e-02,3.428571428571436375e-02,1.096224116930572499e-02,-8.433727554071415722e-02
-5.525846702317292747e-02,1.529051987767584110e-03,-5.524861878453116507e-03,-7.831325301204819858e-03,3.684201950138856624e-02
5.849056603773587770e-02,-9.923664122137404800e-03,-5.833333333333337589e-02,-1.700060716454158960e-02,4.568528104305710075e-02
-1.782531194295925445e-03,-1.310717039321511110e-02,3.834808259587033086e-02,-1.914762198888202496e-02,-8.737864417004444217e-02
2.178571428571429158e-01,-1.562500000000000087e-03,1.136363636363632232e-02,2.392947103274559173e-02,-2.127651154368125422e-02
-3.519061583577720587e-02,3.990610328638497656e-02,-5.617977528089887485e-02,2.337023370233702255e-02,-2.173917296786209014e-02
1.519756838905775113e-02,-2.257336343115123965e-03,-5.952380952380952051e-02,-5.408653846153846367e-02,1.111106666666662052e-02
-2.095808383233520311e-02,3.695324283559577733e-02,1.265822784810122052e-02,1.016518424396442230e-02,-1.648351720806669196e-02
-1.376146788990834265e-02,1.236363636363636311e-02,4.374999999999995559e-02,3.081761006289308186e-02,-2.793291744951581848e-02
2.015503875968987710e-02,-4.382183908045977211e-02,-2.994011976047904200e-02,-4.942037827943868145e-02,-6.321834482758616203e-02
-5.775075987841941233e-02,-2.873777911344856453e-02,2.469135802469149196e-02,-2.792041078305520022e-02,-2.453992517595464037e-02
-2.903225806451608174e-02,-4.931349078397533059e-02,-1.204819277108450798e-02,1.155496863651370165e-02,6.289358490566089588e-03
-4.152823920265780872e-02,1.277461350691619091e-01,1.219512195121968609e-02,9.138381201044386976e-03,7.499999625000018655e-02
-1.299826689774696564e-01,7.359307359307359908e-02,2.409638554216858575e-02,-2.457956015523932863e-02,-6.395357842076389299e-02
-4.382470119521917479e-02,-2.889784946236559002e-02,-5.294117647058815129e-02,-4.045092838196286816e-02,-5.590062389568317691e-02
4.166666666666725589e-03,-2.076124567474048332e-02,3.726708074534147708e-02,3.870076019350380397e-02,4.605268663435198306e-02
4.149377593360907383e-03,-5.017667844522968185e-02,-1.796407185628746961e-02,-1.064537591483699294e-02,-6.289358490566089588e-03
1.859504132231402235e-02,-7.440476190476190063e-03,3.048780487804878328e-02,2.084734364492266470e-02,1.107600056081020808e-02
2.231237322515216073e-02,2.398800599700149846e-02,-5.325443786982240330e-02,-4.084321475625823233e-02,-2.660401877934267037e-02
3.174603174603177203e-02,6.588579795021962116e-03,-1.249999999999995559e-02,1.785714285714285615e-02,-5.305465964992104461e-02
4.038461538461541461e-02,3.127272727272727149e-02,2.531645569620244104e-02,1.214574898785425114e-02,-8.489072543887511701e-03
-2.587800369685764462e-02,-2.961918194640338411e-02,4.012345679012359334e-02,-6.666666666666666444e-04,1.986302574591922998e-01
-6.261859582542701752e-02,-2.034883720930232703e-02,-1.483679525222551809e-02,-7.338225483655770251e-03,0.000000000000000000e+00
-1.417004048582987293e-02,0.000000000000000000e+00,-3.012048192771126995e-03,-6.720430107526882257e-04,-5.714331167344907474e-03
1.067761806981518541e-01,2.002967359050445220e-02,3.927492447129900949e-02,2.219233355749831993e-02,-2.873558620689650386e-02
3.525046382189236938e-02,4.218181818181818143e-02,-2.325581395348829197e-02,1.315789473684210497e-03,4.142002170792787041e-02
7.706093189964165202e-02,2.163293789253314600e-02,3.571428571428558740e-02,2.365308804204993565e-02,2.272731921487819440e-02
2.828618968386016272e-02,-1.229508196721311453e-02,5.459770114942545660e-02,8.985879332477535522e-03,0.000000000000000000e+00
-9.708737864077578855e-03,1.798063623789764726e-02,-8.174386920981041929e-03,-5.089058524173028369e-03,1.111106666666662052e-02
1.960784313725483230e-02,-1.698369565217391214e-02,-1.098901098901094997e-02,1.278772378516624146e-03,-1.098896751599852742e-02
-3.846153846153844286e-02,4.837595024187975497e-03,5.555555555555555247e-02,-1.468710089399744533e-02,2.222226666666671235e-02
-2.666666666666668919e-02,4.264099037138927017e-02,-4.210526315789477753e-02,7.128969539857420677e-03,3.804338965028731395e-02
6.335616438356168889e-02,5.277044854881266303e-03,-3.296703296703284991e-02,3.281853281853281540e-02,-1.570680694059924457e-02
1.449275362318838342e-02,4.396325459317585588e-02,-1.136363636363652355e-02,2.429906542056074759e-02,8.510642915346511295e-02
1.428571428571426272e-02,6.473915776241358222e-02,-5.747126436781609810e-02,1.946472019464720246e-02,7.352941176470588480e-02
-2.034428794992170983e-02,-3.069657615112160454e-02,1.219512195121968609e-02,7.577565632458234390e-02,-4.566246575342503174e-03
1.277955271565490644e-02,2.314250913520097402e-02,2.409638554216858575e-02,2.495840266222961595e-02,0.000000000000000000e+00
8.359621451104107259e-02,2.083333333333333218e-02,5.882352941176553773e-03,-4.653679653679653611e-02,1.376146839491627222e-02
-3.347889374090243231e-02,6.997084548104956156e-03,1.754385964912263951e-02,3.745743473325766071e-02,3.393665281218652668e-03
0.000000000000000000e+00,9.264620729588881817e-03,1.149425287356338303e-02,5.470459518599562164e-03,5.637050936173276273e-03
1.009036144578311506e-01,-1.147446930579460594e-03,-1.136363636363652355e-02,-4.951033732317736830e-02,2.242148798487931735e-02
4.103967168262809967e-03,-8.041355542791499278e-03,2.873563218390804905e-02,-2.518603319977103655e-02,1.403508421052631350e-01
-5.177111716621268789e-02,-4.632310364794440909e-03,5.586592178771029697e-03,3.053435114503816675e-02,-3.846092426033549758e-03
-1.293103448275849908e-02,-7.853403141361256501e-02,0.000000000000000000e+00,-3.418803418803418800e-03,-1.158301122523517496e-02
-1.310043668122279001e-02,2.272727272727272790e-02,-6.388888888888881457e-02,5.717552887364208032e-03,0.000000000000000000e+00
7.374631268436578069e-03,-2.469135802469135665e-02,-8.902077151335436797e-03,-6.822057987492893306e-03,-7.812562255857493504e-03
-5.856515373352730314e-03,-3.037974683544303681e-02,2.395209580838336336e-02,2.289639381797366723e-03,-1.968500849401598474e-02
5.743740795287174267e-02,3.133159268929503610e-02,0.000000000000000000e+00,-2.341519131924614527e-02,2.008028915662647337e-02
-2.785515320334262107e-02,-3.797468354430379861e-02,-1.754385964912284768e-02,-1.228070175438596492e-02,7.874078988160032599e-03
-1.862464183381084756e-02,-4.342105263157895051e-02,3.571428571428558740e-02,3.197158081705150923e-02,-1.171874963378907383e-02
-4.817518248175178125e-02,4.951856946354882966e-02,4.597701149425292150e-02,3.442340791738381783e-02,-5.138342920526708935e-02
-7.975460122699390419e-02,-9.174311926605505096e-03,1.648351648351652210e-02,1.552967276760953974e-02,4.166700000000034439e-03
6.833333333333323212e-02,2.645502645502645356e-03,-2.162162162162154649e-02,1.583833970507919284e-02,-6.639007248497687252e-02
3.432137285491424633e-02,2.506596306068601537e-02,-3.867403314917142176e-02,-3.655913978494623739e-02,1.888885333333329558e-02
-2.564102564102568524e-02,9.652509652509652649e-02,6.034482758620694082e-02,-2.287946428571428423e-02,-9.814613210542664709e-03
-1.547987616099060285e-02,-4.460093896713614864e-02,-5.149051490514901241e-02,-3.997715591090805418e-03,-5.286343798637667402e-02
-4.716981132075471345e-02,-1.117936117936117885e-01,-5.714285714285795813e-03,-8.830275229357797961e-02,-1.627906665224433669e-01
5.610561056105608374e-02,1.092669432918395578e-01,5.747126436781609810e-02,5.094339622641509691e-02,1.222222666666667179e-01
-3.906250000000000000e-02,-1.496259351620947593e-02,-5.434782608695536664e-03,-3.351286654697785417e-02,-4.950534457404616277e-03
-6.666666666666669350e-02,-6.329113924050632813e-03,2.732240437158469856e-02,-2.972136222910216549e-02,-2.487558208955219924e-02
-2.264808362369333250e-02,-4.713375796178344290e-02,-6.382978723404250654e-02,-8.934269304403318415e-03,-3.571432507288473113e-02
2.673796791443850199e-02,7.085561497326203773e-02,4.545454545454528927e-02,1.674179008370894894e-02,5.820101587301582807e-02
-6.770833333333330095e-02,-3.121098626716604235e-02,-2.173913043478253176e-02,-1.139962001266624399e-02,4.000008160000334545e-02
-5.959031657355684519e-02,-3.221649484536082131e-02,-2.222222222222214327e-02,2.562459961563100415e-03,-2.884615273668643051e-02
-4.752475247524749757e-02,5.992010652463382325e-02,4.545454545454528927e-02,-4.472843450479233561e-03,-1.485148456033724522e-02
1.247401247401250246e-02,3.768844221105527477e-03,1.086956521739146017e-02,-4.492939666238767761e-03,-2.010054190550589204e-02
-8.624229979466124796e-02,-2.127659574468085055e-02,-4.301075268817208114e-02,-3.546099290780142105e-02,-4.615384615384615641e-02
-9.662921348314600090e-02,-4.219948849104859095e-02,-1.123595505617973507e-02,-8.021390374331551637e-03,-3.763445161290326912e-02
1.318407960199004247e-01,6.809078771695593890e-02,2.272727272727264464e-02,2.560646900269541656e-02,5.027933185605952537e-02
